ekph,textualReferent
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek10_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek10/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek11_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek11/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek12_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek12/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13_canvas14,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek13/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek14_canvas14,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek14/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek15_canvas14,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek15/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek16_canvas14,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek16/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek17_canvas14,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek17/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek18_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek18/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek19_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek19/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1_canvas6,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1_canvas7,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek20_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek20/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek21_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek21/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek22_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek22/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek23_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek23/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek24_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek24/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek25_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek25/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26_canvas15,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26_canvas16,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek26/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek2_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek3_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek3/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek4_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek4/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek5_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek5/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek6_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek6/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek7_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek7/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek8_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek8/textual_ref
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek9_canvas13,https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek9/textual_ref
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek1_canvas3,https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek1_canvas4,https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek2_canvas4,https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek3_canvas5,https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek3/textual_ref
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek4_canvas7,https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek4/textual_ref
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek5_canvas7,https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek5/textual_ref
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek6_canvas7,https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek6/textual_ref
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek7_canvas7,https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek7/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek1_canvas5,https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek2_canvas7,https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek1_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek2_canvas10,https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek3_canvas11,https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek3/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek4_canvas11,https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek4/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek10_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek10/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek11_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek11/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek1_canvas6,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek2_canvas6,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek3_canvas6,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek3/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek4_canvas6,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek4/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek5_canvas7,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek5/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek6_canvas7,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek6/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek7_canvas7,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek7/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek8_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek8/textual_ref
https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek9_canvas8,https://w3id.org/interim/ek-raimondi-kb/depisisTorino/ekphrasis/ek9/textual_ref
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek1_canvas7,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek2_canvas7,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek2_canvas8,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek3_canvas8,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek3/textual_ref
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek4_canvas9,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek4/textual_ref
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek5_canvas9,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek5/textual_ref
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek6_canvas10,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek6/textual_ref
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek6_canvas11,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek6/textual_ref
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek7_canvas11,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek7/textual_ref
https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek8_canvas12,https://w3id.org/interim/ek-raimondi-kb/giotto/ekphrasis/ek8/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek10_canvas10,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek10/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek10_canvas11,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek10/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek11_canvas11,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek11/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek12_canvas11,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek12/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek12_canvas12,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek12/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek13_canvas12,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek13/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek14_canvas14,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek14/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek15_canvas14,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek15/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek16_canvas14,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek16/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek17_canvas17,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek17/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek17_canvas18,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek17/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek18_canvas18,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek18/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek19_canvas18,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek19/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek1_canvas7,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek20_canvas18,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek20/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek21_canvas18,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek21/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek21_canvas19,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek21/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek2_canvas7,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek3_canvas7,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek3/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek4_canvas7,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek4/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek5_canvas7,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek5/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek6_canvas8,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek6/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek7_canvas8,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek7/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek8_canvas10,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek8/textual_ref
https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek9_canvas10,https://w3id.org/interim/ek-raimondi-kb/ingres/ekphrasis/ek9/textual_ref
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek1_canvas11,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek2_canvas11,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek3_canvas12,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek3/textual_ref
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek4_canvas12,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek4/textual_ref
https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek5_canvas12,https://w3id.org/interim/ek-raimondi-kb/modigliani/ekphrasis/ek5/textual_ref
https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek1_canvas15,https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek2_canvas16,https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek3_canvas17,https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek3/textual_ref
https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek4_canvas19,https://w3id.org/interim/ek-raimondi-kb/pollock/ekphrasis/ek4/textual_ref
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek1_canvas7,https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek2_canvas7,https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek3_canvas8,https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek3/textual_ref
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek4_canvas8,https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek4/textual_ref
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek5_canvas9,https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek5/textual_ref
https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek6_canvas10,https://w3id.org/interim/ek-raimondi-kb/pontormo/ekphrasis/ek6/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek10_canvas21,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek10/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek11_canvas21,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek11/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek12_canvas24,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek12/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek13_canvas24,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek13/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek14_canvas24,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek14/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek1_canvas3,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek1_canvas4,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek2_canvas9,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek3_canvas9,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek3/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek4_canvas10,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek4/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek4_canvas9,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek4/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek5_canvas10,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek5/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek6_canvas10,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek6/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek7_canvas10,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek7/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek8_canvas21,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek8/textual_ref
https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek9_canvas21,https://w3id.org/interim/ek-raimondi-kb/reni/ekphrasis/ek9/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek10_canvas8,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek10/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek11_canvas8,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek11/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek12_canvas8,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek12/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek12_canvas9,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek12/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek1_canvas5,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek1/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek2_canvas5,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek2/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek3_canvas6,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek3/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek4_canvas6,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek4/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek5_canvas6,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek5/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek5_canvas7,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek5/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek6_canvas7,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek6/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek6_canvas8,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek6/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek7_canvas7,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek7/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek8_canvas8,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek8/textual_ref
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek9_canvas8,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek9/textual_ref
